Roller Slide ID,"End Cap Winding Tube LE (Weight, g)",End Cap Winding Tube LE (Roundness Bearing Point),"End Cap Winding Tube LE (Length Measure, mm)","Axle Damper (Torque, Nm)","Winding Tube (Weight, g)",Winding Tube (Roundness),Winding Tube (Straightness),"Sheath Torsion Spring (Weight, g)","Sheath Torsion Spring (Length Measure, mm)","Torsion Spring (Weight, g)","Torsion Spring (Length Measure, mm)","Torsion Spring (Extension Dimension with Weight, mm)","End Cap Winding Tube RE (Weight, g)",End Cap Winding Tube RE (Roundness Bearing Point),"Bearing Spring (Weight, g)",Bearing Spring (Roundness Bearing Point),QC Status
1,52.483570765056164,0.8937751723994803,99.16440959841573,5.712567277652586,96.90790922950137,0.8112823024473296,0.9837119627830653,34.94844268297176,86.14943628735777,79.45751024689197,123.27013278905504,16.47519795570163,49.35726853374022,0.7960543502285315,41.75781076183196,0.7269477257716251,Pass
2,49.308678494144075,0.8712334914006735,100.73356843216662,5.1210847523488745,92.47843594409417,0.970582059024745,0.9619526200036304,33.21183167993756,80.00204845687244,76.20333832009356,122.62338689854532,19.68944397174291,46.74162438921792,0.9010761928133078,45.071841948412356,0.8772261164059194,Pass
3,53.23844269050346,0.8068290177693538,106.03254483254179,14.5650139829948,103.19174510419181,0.9420080559084217,0.956339535071264,27.81119259057777,82.34639000459438,69.56152295870936,117.81571681314253,17.139579478647715,39.02808765089988,0.756371076639525,39.902405731055374,0.8798090655214796,Pass
4,57.61514928204013,0.9959545746378939,95.91532164506381,12.37508359459007,113.40450446023145,0.9954575208287427,0.9624614048114531,31.084251951819308,77.62730185499734,71.70186420959025,119.49264784491524,19.246586095822465,57.99735470056895,0.8874386196156175,34.31108140197517,0.8256276971447964,Pass
5,48.82923312638332,0.8817324458070661,101.8433665443645,8.532514085020642,81.24827530354256,0.9262744779046242,0.9864433246868364,26.120575368724058,77.66044116133509,67.9403024605448,119.3096705891004,15.17131892010638,53.51571271110002,0.800935105545253,43.37005558582002,0.8295531076936089,Pass
6,48.8293152152541,0.7711680375207983,98.0333059383632,7.9653558128765525,101.15026079147417,0.8179585603083767,0.9586936506558907,31.717170933527026,83.24595442774982,79.49608370079588,120.97850907015265,11.170644129818626,52.666036589496564,0.7633624775763854,43.01983506456786,0.7161797748522614,Pass
7,57.896064077536955,0.7305347417861211,100.14372411467409,8.497032297458496,98.3986720443336,0.8771913501983913,0.9580950379888179,31.351810238587618,75.9512713653454,68.59753195544086,121.37270711002907,15.281777214230171,50.82701830149852,0.7939546152110906,32.232565362482376,0.8549639531167786,Pass
8,53.837173645764544,0.7458577417552996,106.39225931303649,12.746535311811819,106.71340076450466,0.8983042762741961,0.9990679157065766,24.390550981403507,78.75435869628419,71.62289464494394,118.32221465194853,11.268728280630933,43.089912156537814,0.7536523205523398,39.9847834653168,0.8514218426141055,Pass
9,47.65262807032524,0.7737873185153524,100.95549534009952,11.613706110704143,102.1319662823769,0.7235367448951372,0.9756730167068568,26.51464846826291,80.10208223321669,78.02221100899446,120.13567702783388,15.92493479176405,47.58191430222281,0.9705748323513648,33.639432677278805,0.7448647955670833,Pass
10,52.712800217929825,0.7482044119778667,100.23218274078074,6.851955678674679,92.48030668261181,0.8633490877311595,0.9442293805451135,29.1505833097687,80.33411780552015,64.55839960607865,115.96014533568773,14.824930605276629,54.208903873920065,0.8191560658951387,37.34139560999175,0.7311518158332783,Pass
11,47.68291153593769,0.7559701072153917,93.2007192951004,6.741093353340844,96.80946064333382,0.9127962485417829,0.9707397000032928,29.09742075857752,79.46272014495153,80.91152429147826,122.88389001160378,16.225753978327816,44.743899851087484,0.7735837914923102,36.3887642921488,0.7370717471798471,Pass
12,47.671351232148716,0.7855285506081541,103.7312678301361,5.983956497133973,92.03974143196511,0.7501963912003181,0.9389230471691788,26.371569193743582,81.18745934328777,59.28677013179636,118.97525151864662,10.100469810548315,37.34115341874593,0.8345223523047798,43.23705879296794,0.7303084739473775,Pass
